symbol,start,end
KIRLOSENG,2019-03-29,2020-06-26
KIRLOSENG,2026-05-30,
KIRLOSIND,1998-08-01,2010-04-15
KITEX,2014-09-19,2018-09-28
KKCL,2013-09-27,2016-04-01
KNRCON,2015-03-27,2016-04-01
KNRCON,2017-03-31,2017-09-29
KNRCON,2018-04-02,2026-05-30
KOHINOOR,1999-02-03,2011-03-25
KOLTEPATIL,2013-09-27,2022-05-04
KOPDRUGS,2002-09-19,2006-03-02
KOPRAN,1998-08-01,2008-09-10
KOTAKBANK,1998-08-01,
KOTHARIPRO,2002-03-29,2008-12-03
KPIL,2006-09-13,
KPITTECH,2002-09-19,2018-09-28
KPITTECH,2019-09-27,
KPRMILL,2015-03-27,
KRBL,2015-09-28,2026-05-30
KREBSBIO,2000-02-16,2002-07-09
KSB,1998-08-01,2016-04-01
KSB,2016-09-30,2017-03-31
KSB,2020-06-26,2022-05-04
KSB,2023-04-04,2026-05-30
KSCL,2013-09-27,2022-05-04
KSL,1998-08-01,2001-12-07
KWALITY,2012-04-27,2013-04-01
KWALITY,2016-04-01,2018-09-28
LALPATHLAB,2016-09-30,
LAOPALA,2015-02-02,2017-03-31
LAOPALA,2020-06-26,2022-05-04
LATENTVIEW,2022-05-04,
LAURUSLABS,2017-05-26,
LEMONTREE,2018-09-28,2022-05-04
LEMONTREE,2023-04-04,
LENSKART,2026-05-30,
LGBBROSLTD,2004-12-10,2008-05-21
LGBBROSLTD,2015-03-27,2016-04-01
LGEINDIA,2026-05-30,
LICHSGFIN,1998-08-01,
LICI,2022-10-09,
LINDEINDIA,1998-08-01,2016-04-01
LINDEINDIA,2016-09-30,2017-03-31
LINDEINDIA,2017-09-29,2018-04-02
LINDEINDIA,2018-09-28,
LLOYDSME,2026-05-30,
LMW,1998-08-01,2026-05-30
LODHA,2022-05-04,
LOVABLE,2012-04-27,2015-03-27
LT,1998-08-01,2004-05-24
LT,2004-11-18,
LTF,2012-03-09,
LTFOODS,2026-05-30,
LTM,2017-03-31,
LTTS,2017-03-31,
LUMAXIND,1998-08-01,2009-10-22
LUPIN,2002-09-19,
LUXIND,2018-09-28,2026-05-30
LXCHEM,2022-05-04,2026-05-30
M&M,1998-08-01,
M&MFIN,2006-10-05,
MADRASFERT,2002-09-19,2004-12-10
MADURACOAT,1998-08-01,2003-04-25
MAFATIND,1998-08-01,2000-12-13
MAHABANK,2019-03-29,
MAHLIFE,2001-12-07,2017-03-31
MAHLIFE,2022-10-09,2026-05-30
MAHLOG,2018-09-28,2024-02-26
MAHSCOOTER,1998-08-01,2009-03-27
MAHSCOOTER,2013-09-27,2016-04-01
MAHSCOOTER,2019-03-29,2022-05-04
MAHSEAMLES,1998-08-01,2016-04-01
MAHSEAMLES,2019-03-29,2022-05-04
MANALIPETC,2002-09-19,2006-09-28
MANAPPURAM,2016-04-01,
MANGLMCEM,1998-08-01,2001-10-11
MANINDS,2013-09-27,2014-07-28
MANINFRA,2012-06-18,2014-09-19
MANKIND,2024-02-26,
MANYAVAR,2022-10-09,2026-05-30
MAPMYINDIA,2022-05-04,
MARALOVER,1998-08-01,2007-09-24
MARICO,1998-08-01,2013-11-01
MARICO,2014-05-12,
MARKSANS,2015-03-27,2018-09-28
MARNITPOLY,1998-08-01,2002-04-23
MARUTI,2004-03-01,
MASFIN,2018-04-02,2022-05-04
MASTEK,1998-08-01,2015-03-27
MASTEK,2022-05-04,2026-05-30
MAXHEALTH,2022-05-04,
MAXIND,1998-08-01,2015-09-28
MAXIND,2017-03-16,2019-12-27
MAYURUNIQ,2015-03-27,2017-03-31
MAZDOCK,2022-05-04,
MBLINFRA,2015-02-02,2016-04-01
MCLEODRUSS,2007-04-04,2019-03-29
MCX,2019-09-27,
MEDANTA,2023-04-04,
MEDPLUS,2022-05-04,2026-05-30
MEESHO,2026-05-30,
MERCATOR,2006-03-02,2016-04-01
METALFORGE,1998-08-01,1999-09-08
METALFORGE,2015-09-28,2016-04-01
METROBRAND,2022-05-04,2026-05-30
METROPOLIS,2019-09-27,2026-05-30
MFSL,2016-09-30,2017-01-23
MFSL,2017-09-05,
MGL,2017-03-16,
MHRIL,2013-09-27,2026-05-30
MICRO,1998-08-01,2010-04-06
MIDHANI,2019-12-26,2022-05-04
MINDACORP,2016-04-01,2016-09-30
MINDACORP,2017-03-31,2022-05-04
MINDACORP,2024-02-26,
MINDTREE,2007-10-05,2022-10-09
MIRZAINT,1999-09-08,2011-03-25
MMTC,2013-09-27,
MODERNWOOL,1998-08-01,1999-02-03
MODILUFT,1998-08-01,1999-09-08
MODIRUBBER,1998-08-01,2002-11-11
MODTHREAD,1998-08-01,1999-02-03
MOIL,2013-01-23,2023-04-04
MONSANTO,2001-04-25,2018-04-02
MONSANTO,2018-09-28,2019-06-28
MOREPENLAB,1998-08-01,2005-06-29
MOTHERSON,2001-12-07,2022-05-04
MOTHERSON,2022-10-09,
MOTILALOFS,2009-04-17,
MPHASIS,2000-12-13,
MPSLTD,2003-02-25,2008-11-05
MRF,1998-08-01,
MRPL,1999-05-26,
MSUMI,2022-10-09,
MTARTECH,2022-05-04,2026-05-30
MTEDUCARE,2013-09-27,2016-04-01
MTNL,1998-08-01,2014-03-28
MTNL,2016-04-01,2018-09-28
MUKTAARTS,2001-12-07,2010-04-08
MUNJALAU,2004-04-12,2006-05-17
MUNJALSHOW,1998-08-01,2002-09-19
MUNJALSHOW,2003-01-21,2011-03-25
MUNJALSHOW,2015-03-27,2016-04-01
MUTHOOTFIN,2012-04-27,
NAHARINDUS,1998-08-01,2001-04-25
NAHARPOLY,1998-08-01,2007-01-24
NAHARSPING,1998-08-01,2007-01-24
NAM-INDIA,2018-09-28,
NATCOPHARM,2015-05-29,
NATIONALUM,1999-04-29,
NAUKRI,2008-01-28,
NAVA,2004-03-15,2016-04-01
NAVA,2017-03-31,2022-05-04
NAVA,2026-05-30,
NAVINFLUOR,2016-09-30,
NAVKARCORP,2016-04-01,2019-03-29
NAVNETEDUL,1998-08-01,2016-04-01
NAVNETEDUL,2017-03-31,2018-04-02
NAZARA,2022-05-04,2026-05-30
NBCC,2014-03-28,
NCC,2004-12-10,
NDLVENTURE,2001-10-11,2007-03-29
NELCO,2002-08-13,2012-04-27
NEPCMICON,1998-08-01,2009-03-27
NESCO,2018-04-02,2022-10-09
NESTLEIND,1998-08-01,2003-08-04
NESTLEIND,2019-09-27,
NETWEB,2026-05-30,
NETWORK18,2011-10-10,2020-06-26
NETWORK18,2022-05-04,2026-05-30
NEULANDLAB,2026-05-30,
NEWGEN,2026-05-30,
NEXTMEDIA,2002-04-23,2011-01-20
NFL,2009-03-27,2012-04-27
NFL,2017-09-29,2022-05-04
NH,2016-09-30,
NHPC,2010-04-06,
NIACL,2018-09-28,
NICOLASPIR,2023-04-04,2026-05-30
NIITLTD,2008-02-15,2016-04-01
NIITLTD,2022-10-09,2023-04-04
NILKAMAL,1999-09-08,2013-04-01
NILKAMAL,2016-09-30,2022-05-04
NIPPONDENS,1998-08-01,2002-10-11
NIVABUPA,2026-05-30,
NLCINDIA,2001-12-07,
NMDC,2008-09-10,2022-10-09
NMDC,2023-04-04,
NOCIL,1998-08-01,2004-12-10
NOCIL,2014-09-19,2016-04-01
NOCIL,2022-05-04,2024-02-26
NOIDATOLL,2007-04-04,2016-04-01
NOVARTIND,1998-08-01,2003-05-02
NRBBEARING,2002-09-19,2011-10-10
NSLNISP,2024-02-26,
NTPC,2005-03-24,
NTPCGREEN,2026-05-30,
NUVAMA,2026-05-30,
NUVOCO,2022-05-04,
NYKAA,2022-05-04,
OBEROIRLTY,2011-04-21,
OCL,2016-09-30,2017-01-23
OENCONNECT,2002-04-23,2007-09-10
OFSS,2003-03-17,
OIL,2010-04-15,
OILCOUNTUB,1998-08-01,1999-05-26
OLAELEC,2026-05-30,
OLECTRA,2022-10-09,
OMAXAUTO,2003-12-05,2011-03-25
OMAXE,2008-11-05,2022-05-04
ONELIFECAP,2013-04-01,2013-09-27
ONESOURCE,2026-05-30,
ONGC,2002-06-06,
ONIDA,1998-08-01,2012-09-28
ONWARDTEC,2002-05-21,2007-09-24
ORCHIDPHAR,1998-08-01,2015-09-28
ORIENTCEM,2015-09-28,2022-05-04
ORIENTELEC,2019-03-29,2026-05-30
ORIENTHOT,1998-08-01,2013-04-01
ORIENTPPR,1998-08-01,2013-03-07
OSWALAGRO,1998-08-01,2002-03-29
OSWALGREEN,1998-08-01,2004-03-15
OSWALGREEN,2007-09-24,2016-04-01
PADMINPOLY,2001-06-20,2003-01-21
PAGEIND,2011-10-10,
PAISALO,2012-05-21,2016-04-01
PANACEABIO,2000-12-20,2012-04-27
PARADEEP,2026-05-30,
PARAGMILK,2017-03-31,2020-06-26
PARSVNATH,2007-04-30,2016-09-30
PATANJALI,1998-08-01,2017-09-29
PATANJALI,2022-10-09,
PATELENG,2005-06-29,2016-04-01
PAVCI,2002-09-19,2002-11-11
PAYTM,2022-05-04,
PCBL,1998-08-01,2002-01-17
PCBL,2018-09-28,2020-07-24
PCBL,2022-05-04,
PCJEWELLER,2016-04-01,2020-06-26
PEL,1998-08-01,2008-02-15
PEL,2009-03-27,
PENIND,2015-03-27,2016-04-01
PENINLAND,1998-08-01,2004-12-10
PENINLAND,2010-02-24,2016-04-01
PENTACOMMU,2000-12-13,2006-09-13
PENTSFWARE,1998-08-01,2006-09-13
PERSISTENT,2011-10-10,
PETRONET,2004-12-10,
PFC,2007-09-24,
PFIZER,1998-08-01,
PFOCUS,2012-09-28,2015-03-27
PFOCUS,2026-08-05,
PGEL,2026-05-30,
PGHH,1998-08-01,2003-04-01
PGHH,2004-12-10,2026-05-30
PGHL,1998-08-01,2023-04-04
PGHL,2024-02-26,2026-05-30
PGIL,2008-02-15,2011-03-25
PHARMACIA,1999-12-08,2005-03-04
PIDILITIND,1998-08-01,
PIIND,1998-08-01,2002-04-23
PIIND,2014-03-28,
PILITA,1998-08-01,1999-05-26
PINELABS,2026-05-30,
PIRAMALFIN,2026-05-30,
PNB,2003-03-27,
PNBGILTS,2002-03-29,2011-10-10
PNBHOUSING,2017-05-26,
PNC,2002-05-14,2007-04-04
PNCINFRA,2015-10-19,2026-05-30
POLARIS,2000-05-24,2014-09-19
POLARIS,2016-04-01,2018-02-05
POLICYBZR,2022-05-04,
POLYCAB,2019-09-27,
POLYMED,2020-06-26,
POLYPLEX,2022-05-04,2026-05-30
POONAWALLA,2013-09-27,2020-06-26
POONAWALLA,2022-05-04,
POWERGRID,2008-03-14,
POWERINDIA,2022-05-04,
PPLPHARMA,2023-04-04,
PRAJIND,2003-05-02,2026-05-30
PRAKASH,1998-08-01,1999-05-26
PRAKASH,2012-04-27,2016-04-01
PREMIER,1998-08-01,2000-05-24
PREMIERENE,2026-05-30,
PRESTIGE,2011-05-03,
PRICOLLTD,2002-09-19,2011-10-10
PRIMESECU,1998-08-01,1999-12-08
PRINCEPIPE,2022-05-04,2026-05-30
PRIVISCL,2022-05-04,2023-04-04
PRSMJOHNSN,2002-03-29,2002-09-19
PRSMJOHNSN,2003-01-21,2026-05-30
PSL,2002-09-19,2014-03-28
PTC,2009-10-22,2022-05-04
PTCIL,1998-08-01,1998-10-07
PTCIL,2026-05-30,
PUNJABCHEM,1998-08-01,2002-03-29
PURVA,2009-03-27,2016-09-30
PVP,1999-05-26,2011-03-25
PVRINOX,2013-03-19,
PWL,2026-05-30,
QUESS,2017-03-31,2026-05-30
RADICO,2005-04-20,
RAILTEL,1998-08-01,2001-08-31
RAILTEL,2022-05-04,2022-10-09
RAILTEL,2026-05-30,
RAIN,2002-07-09,2004-03-15
RAIN,2014-06-30,2026-05-30
RAINBOW,2023-04-04,
RAJESHEXPO,2005-09-26,2026-05-30
RAJTV,2013-11-18,2015-03-27
RALLIS,1999-09-08,2026-05-30
RAMANEWS,2004-12-10,2006-08-02
RAMCOCEM,1998-08-01,
RAMCOIND,2000-09-03,2015-09-28
RAMCOSYS,2001-04-25,2011-03-25
RAMCOSYS,2016-04-01,2018-09-28
RATNAMANI,2014-09-19,2016-09-30
RATNAMANI,2017-03-31,2017-09-29
RATNAMANI,2019-09-27,2026-05-30
RAYMOND,1998-08-01,2022-05-04
RAYMOND,2022-10-09,2026-05-30
RAYMONDSYN,1998-08-01,2001-04-25
RBA,2022-05-04,2026-05-30
RBLBANK,2017-01-23,
RCF,1998-08-01,2026-05-30
RCOM,2006-07-10,2019-09-27
RECKCOLMAN,1998-08-01,2003-03-27
RECLTD,2008-09-10,
REDINGTON,2009-10-22,
REGENCERAM,2003-09-11,2006-03-02
RELAXO,2016-04-01,2017-09-29
RELAXO,2017-11-13,2026-05-30
RELIANCE,1998-08-01,
RELIGARE,2008-12-03,2016-04-01
RELIGARE,2016-09-30,2018-09-28
RELINFRA,1998-08-01,2020-06-26
RELMEDIA,2002-03-29,2009-07-31
RELMEDIA,2011-02-08,2012-09-28
RENUKA,2006-04-13,2026-05-30
REPCOHOME,2014-09-19,2022-05-04
RESPONIND,2019-12-26,2020-06-26
RHFL,2018-04-02,2019-09-27
RHIM,2019-09-27,
RICOAUTO,1998-08-01,1999-09-08
RICOAUTO,2003-03-05,2011-10-10
RICOAUTO,2015-09-28,2016-04-01
RIIL,1998-08-01,2017-09-29
RITES,2018-12-28,
RKFORGE,2016-04-01,2019-09-27
RKFORGE,2026-05-30,
ROOFITIND,2000-11-29,2003-03-17
ROSSARI,2022-05-04,2026-05-30
ROUTE,2022-05-04,2026-05-30
RPGCABLES,1998-08-01,2004-12-10
RPGTLTD,1998-08-01,2002-04-23
RPOWER,2008-09-10,2020-06-26
RPOWER,2026-05-30,
RRKABEL,2026-05-30,
RSSOFTWARE,2001-01-10,2004-12-10
RSWM,1998-08-01,2009-04-17
RTNINDIA,2022-05-04,2026-05-30
RTNPOWER,2011-10-10,2015-09-28
RTNPOWER,2016-04-01,2018-09-28
RUPA,2017-09-29,2019-09-27
RUSTOMJEE,2023-04-04,2024-02-26
RVNL,2019-09-27,
SADBHAV,2011-03-25,2022-05-04
SADBHIN,2016-04-01,2016-09-30
SADBHIN,2018-04-02,2019-03-29
SAFARI,2024-02-26,2026-05-30
SAGILITY,2026-05-30,
SAIL,1998-08-01,
SAILIFE,2026-05-30,
SAKHTISUG,1998-08-01,2011-10-10
SAMMAANCAP,2014-03-28,
SANDESH,2000-12-13,2009-03-27
SANOFI,1998-08-01,2026-05-30
SAPPHIRE,2022-05-04,
SARDAEN,2026-05-30,
SAREGAMA,2000-05-10,2011-03-25
SAREGAMA,2022-05-04,2023-04-04
SAREGAMA,2024-02-26,
SAURASHCEM,1998-08-01,2001-12-07
SBFC,2026-05-30,
SBICARD,2020-07-31,
SBILIFE,2018-04-02,
SBIN,1998-08-01,
SCHAEFFLER,1998-08-01,
SCHNEIDER,2016-01-18,2018-04-02
SCHNEIDER,2020-06-26,2022-05-04
SCHNEIDER,2026-05-30,
SCI,1998-08-01,2019-09-27
SCI,2020-06-26,2023-04-04
SCI,2026-05-30,
SEAMECLTD,2000-12-13,2011-10-10
SECURKLOUD,2016-04-01,2019-03-29
SESHAPAPER,1998-08-01,2009-10-22
SFL,2017-06-23,2018-09-28
SFL,2018-12-28,2023-04-04
SFL,2024-02-26,2026-05-30
SHANKARA,2018-04-02,2019-09-27
SHANTIGEAR,2002-07-09,2016-04-01
SHARDACROP,2016-04-01,2018-04-02
SHARDACROP,2019-03-29,2019-09-27
SHARDACROP,2022-10-09,2026-05-30
SHASUNPHAR,2000-02-16,2015-03-27
SHILPAMED,2016-04-01,2018-04-02
SHILPAMED,2018-09-28,2020-06-26
SHILPAMED,2022-05-04,2023-04-04
SHIRPUR-G,2002-09-19,2005-04-20
SHK,2016-04-29,2020-06-26
SHOPERSTOP,2006-01-06,2017-03-31
SHOPERSTOP,2017-09-29,2022-05-04
SHOPERSTOP,2022-10-09,2026-05-30
SHREECEM,1998-08-01,
SHREEKRPET,1998-08-01,1999-02-03
SHREEKRPOL,1998-08-01,1999-02-03
SHREERAMA,2001-08-31,2006-03-02
SHRIRAMFIN,2003-09-05,
SHYAMMETL,2022-05-04,
SHYAMTEL,2000-09-03,2006-07-25
SIEMENS,1998-08-01,
SIGNATURE,2026-05-30,
SILVERLINE,1999-09-08,2003-04-07
SIMPLEXINF,2006-03-02,2017-03-31
SIS,2018-04-02,2023-04-04
SITINET,2008-02-15,2009-03-27
SITINET,2015-09-28,2017-03-31
SJVN,2016-04-01,
SKFINDIA,1998-08-01,2026-05-30
SKUMARSYNF,2002-09-19,2008-04-24
SKUMARSYNF,2008-09-10,2014-09-19
SMARTLINK,2002-04-23,2010-04-08
SMLMAH,2004-01-02,2009-03-27
SMLMAH,2016-04-01,2018-09-28
SNOWMAN,2016-04-01,2018-04-02
SOBHA,2007-09-24,
SOLARA,2022-05-04,2022-10-09
SOLARINDS,2016-04-01,
SOMANYCERA,2016-04-01,2018-04-02
SONACOMS,2022-05-04,
SONATSOFTW,2000-09-03,
SOUTHBANK,2002-03-29,2022-05-04
SPANDANA,2019-12-27,2022-05-04
SPARC,2013-03-07,2013-09-27
SPARC,2014-03-28,2026-05-30
SPECIALSTL,1998-08-01,2002-06-06
SPIC,1998-08-01,2004-12-10
SPICEJET,2019-12-27,
SPICFINE,2001-12-07,2003-04-01
SPLPETRO,1998-08-01,2016-04-01
SPLPETRO,2017-09-29,2018-04-02
SPLPETRO,2026-05-30,
SQRDSFWARE,1999-12-08,2005-09-26
SQUAREDBIO,2000-11-29,2001-12-07
SREINFRA,2002-09-19,2019-09-27
SRF,1998-08-01,
SRIPIPES,2015-09-28,2016-04-01
STAR,2018-09-28,2022-10-09
STARCEMENT,2017-11-20,2022-05-04
STARHEALTH,2022-05-04,
STCINDIA,2003-12-05,2012-04-27
STCINDIA,2016-04-01,2017-09-29
STERLINBIO,2001-12-07,2013-04-01
STLTECH,2001-12-07,2016-01-18
STLTECH,2017-03-31,2026-05-30
STYRENIX,1998-08-01,2009-03-27
STYRENIX,2016-04-01,2016-09-30
SUBROS,1999-05-26,2002-04-23
SUDARSCHEM,1998-08-01,2001-04-25
SUDARSCHEM,2017-03-31,2023-04-04
SUMICHEM,2020-06-26,
SUMMITSEC,1998-08-01,2009-03-27
SUNCLAY,1998-08-01,2008-04-24
SUNCLAY,2019-04-15,2020-06-26
SUNDARMFIN,1999-02-03,2017-11-13
SUNDARMFIN,2018-09-28,
SUNDRMBRAK,2002-09-19,2008-09-10
SUNDRMFAST,1998-08-01,2026-05-30
SUNDROP,1998-08-01,2016-04-01
SUNPHARMA,1998-08-01,
SUNTECK,2010-11-25,2026-05-30
SUNTV,2006-09-22,
SUPRAJIT,2016-09-30,2017-03-31
SUPRAJIT,2017-09-29,2018-04-02
SUPRAJIT,2019-03-29,2026-05-30
SUPREMEIND,1998-08-01,
SUPREMEINF,2012-09-28,2016-04-01
SURYALAXMI,2004-12-10,2005-04-06
SURYAROSNI,2002-09-19,2012-04-27
SUVEN,2015-03-27,2020-01-16
SUZLON,2006-03-23,
SWANCORP,2013-04-01,2022-05-04
SWANCORP,2022-10-09,
SWARAJENG,1998-08-01,2016-04-01
SWIGGY,2026-05-30,
SWSOLAR,2020-03-19,2026-05-30
SYMPHONY,2015-09-28,2023-04-04
SYMPHONY,2024-02-26,2026-05-30
SYNGENE,2016-04-01,
SYRMA,2024-02-26,
TAJGVK,2002-04-23,2012-09-28
TAKE,2016-04-01,2022-05-04
TANLA,2022-05-04,2026-05-30
TARIL,2026-05-30,
TASTYBITE,2019-12-27,2022-05-04
TATACAP,2026-05-30,
TATACHEM,1998-08-01,2019-12-27
TATACHEM,2022-05-04,
TATACOFFEE,2002-07-18,2019-09-27
TATACOMM,1998-08-01,2018-06-29
TATACOMM,2020-06-26,
TATACONSUM,1998-08-01,
TATAELXSI,1998-08-01,
TATAINVEST,1998-08-01,2016-04-01
TATAINVEST,2017-03-31,
TATASTEEL,1998-08-01,
TATASTLBSL,2002-07-09,2002-09-19
TATASTLBSL,2004-07-09,2018-09-28
TATASTLBSL,2020-01-16,
TATASTLLP,1998-08-01,2002-09-19
TATASTLLP,2003-04-07,2019-03-29
TATATECH,2026-05-30,
TATAVASHIS,1999-05-26,2006-03-23
TBOTEK,2026-05-30,
TBZ,2013-04-01,2016-09-30
TCI,2016-04-01,2016-04-29
TCI,2022-10-09,2024-02-26
TCIEXP,2019-09-27,2024-02-26
TCS,2004-12-22,
TDPOWERSYS,2012-04-27,2016-04-01
TEAMLEASE,2018-09-28,2026-05-30
TECHM,2007-01-24,
TECHNOE,2019-09-27,2020-06-26
TECHNOE,2026-05-30,
TEGA,2026-05-30,
TEJASNET,2022-10-09,
TENNIND,2026-05-30,
TFCILTD,1999-02-03,2011-10-10
THELEELA,2026-05-30,
THERMAX,1998-08-01,
THIRUSUGAR,1998-08-01,2009-03-27
THOMASCOOK,1998-08-01,2019-09-27
THYROCARE,2017-03-31,2023-04-04
TI,2014-11-28,2015-03-27
TIINDIA,1998-08-01,2017-05-26
TIINDIA,2018-06-29,
TIMETECHNO,2017-09-29,2022-05-04
TIMKEN,1998-08-01,2002-09-19
TIMKEN,2016-04-01,
TIPSMUSIC,2001-12-07,2007-04-04
TIRUMALCHM,2002-09-19,2003-01-21
TITAGARH,2026-05-30,
TITAN,1998-08-01,
TMB,2023-04-04,2024-02-26
TMCV,1998-08-01,2020-07-24
TMCV,2026-05-30,
TNPETRO,1998-08-01,2011-10-10
TNPL,1998-08-01,2019-09-27
TNTELE,2002-09-19,2005-09-26
TODAYS,2003-05-02,2007-09-24
TORNTPHARM,1998-08-01,
TORNTPOWER,2009-07-31,
TORRENTAEC,1998-08-01,2006-09-21
TRANSPEK,1998-08-01,2002-03-29
TRAVELFOOD,2026-05-30,
TREEHOUSE,2012-04-27,2016-09-30
TRENT,1998-08-01,
TRIDENT,2003-04-01,2011-10-10
TRIDENT,2014-03-28,
TRIGYN,1998-08-01,2007-04-04
TRITURBINE,2016-04-01,2017-09-29
TRITURBINE,2019-03-29,2019-09-27
TRITURBINE,2019-12-27,2020-06-26
TRITURBINE,2022-05-04,
TRIVENI,1998-08-01,1999-02-03
TRIVENI,2006-04-10,2011-05-03
TRIVENI,2022-10-09,2026-05-30
TTKPRESTIG,2012-09-28,2026-05-30
TTML,2002-01-17,2006-03-02
TTML,2016-04-01,2016-09-30
TTML,2022-05-04,
TULIP,2009-06-19,2014-03-28
TV18BRDCST,2007-11-29,
TVSMOTOR,2001-08-31,
TVSSRICHAK,2016-04-01,2019-03-29
TVTODAY,2004-12-10,2012-09-28
TVTODAY,2014-09-19,2016-04-01
TVTODAY,2016-04-29,2022-05-04
UBL,1998-08-01,2002-08-13
UBL,2009-10-22,
UCAL,1998-08-01,2009-10-22
UCOBANK,2004-05-24,2022-10-09
UCOBANK,2023-04-04,
UFLEX,1998-08-01,2024-02-26
UJJIVANSFB,2020-06-26,2022-05-04
UJJIVANSFB,2024-02-26,2026-05-30
ULTRACEMCO,2005-01-05,
UMIYA-MRO,2002-09-19,2009-10-22
UNICHEMLAB,1999-12-08,2019-03-29
UNIONBANK,2003-04-01,
UNITDSPR,2002-09-19,2014-09-19
UNITDSPR,2015-03-27,
UNITECH,1998-08-01,2018-09-28
UNITEDCARB,1998-08-01,2002-07-09
UNITEDPHOS,1998-08-01,2003-12-05
UNOMINDA,2017-03-31,
UPL,2004-08-30,
URBANCO,2026-05-30,
USHAMART,1998-08-01,2016-04-01
USHAMART,2024-02-26,
UTIAMC,2022-05-04,
UTTAMSTL,1998-08-01,2016-04-01
UTTAMSUGAR,2007-04-04,2009-10-22
UTTAMVALUE,1998-08-01,2002-03-29
V2RETAIL,2009-03-27,2011-03-25
VAIBHAVGBL,2014-03-28,2016-09-30
VAIBHAVGBL,2019-09-24,2026-05-30
VAKRANGEE,2012-09-28,2022-10-09
VALUEIND,1998-08-01,2009-10-22
VARDMNPOLY,1999-02-03,2002-09-19
VARDMNPOLY,2003-05-23,2008-09-10
VARROC,2018-12-28,2026-05-30
VBL,2017-05-26,
VEDL,1998-08-01,2020-07-31
VENKEYS,2002-08-20,2015-03-27
VENKEYS,2018-09-28,2022-10-09
VESUVIUS,1998-08-01,2016-04-01
VESUVIUS,2017-09-29,2018-04-02
VESUVIUS,2020-06-26,2022-05-04
VGUARD,2016-04-01,2026-05-30
VHL,1998-08-01,2002-09-19
VHL,2003-03-06,2005-04-13
VIDEOIND,2006-07-14,2018-03-13
VIJAYA,2022-05-04,
VINATIORGA,2015-03-27,2026-05-30
VINDHYATEL,1998-08-01,2009-03-27
VINYLINDIA,1998-08-01,2006-03-02
VIPIND,1998-08-01,2026-05-30
VISAKAIND,2003-10-01,2008-09-10
VISUALSOFT,2000-05-24,2007-04-30
VIVIDHA,2015-05-29,2016-04-01
VIYASH,2016-09-30,2017-03-31
VIYASH,2020-06-26,2022-10-09
VLSFINANCE,1998-08-01,2002-07-09
VMART,2018-09-28,2026-05-30
VMM,2026-05-30,
VOLTAS,1998-08-01,
VRLLOG,2015-09-28,2022-05-04
VSTIND,1998-08-01,2017-09-29
VSTIND,2019-03-29,2022-05-04
VTL,1998-08-01,2002-09-19
VTL,2003-01-21,2011-03-25
VTL,2013-09-27,
WAAREEENER,2026-05-30,
WABAG,2014-09-19,2020-06-26
WABCOINDIA,2012-04-27,
WARTSILA,1998-08-01,2003-05-02
WELCORP,2004-06-14,2005-04-20
WELCORP,2006-10-05,2013-11-18
WELCORP,2014-09-19,
WELSPUNLIV,2004-07-09,2009-06-19
WELSPUNLIV,2013-04-01,
WESTLIFE,2019-12-27,2026-05-30
WHEELS,2002-09-19,2009-03-27
WHEELS,2014-09-19,2016-04-01
WHIRLPOOL,1998-08-01,2003-08-11
WHIRLPOOL,2011-03-25,
WINDMACHIN,1998-08-01,2002-04-23
WINSOMEDJ,1998-08-01,2002-09-19
WIPRO,1998-08-01,2013-04-01
WIPRO,2013-08-07,
WOCKPHARMA,2000-05-24,2012-04-27
WOCKPHARMA,2013-04-01,2023-04-04
WOCKPHARMA,2026-05-30,
WONDERLA,2016-04-01,2017-09-29
WOOLWORTH,1998-08-01,2000-12-13
WSTCSTPAPR,2002-07-09,2014-09-19
WYETH,1998-08-01,2014-05-12
YESBANK,2009-10-22,2020-03-19
YESBANK,2022-05-04,
ZANDUREALT,1998-08-01,2009-12-22
ZEEL,1998-08-01,2010-10-07
ZEEL,2011-03-25,
ZEELEARN,2016-04-01,2018-09-28
ZEEMEDIA,2008-02-29,2010-04-15
ZENSARTECH,1998-08-01,2018-04-02
ZENSARTECH,2018-09-28,
ZENTEC,2026-05-30,
ZFCVINDIA,2022-05-04,
ZUARIIND,1998-08-01,2012-04-09
ZYDUSLIFE,2001-04-25,2008-12-29
ZYDUSLIFE,2009-04-21,
ZYDUSWELL,2011-03-25,2017-09-29
ZYDUSWELL,2018-09-28,
