symbol,start,end
BELRISE,2026-05-30,
BEML,1998-08-01,2022-05-04
BEML,2023-04-04,
BEPL,2005-09-26,2013-04-01
BERGEPAINT,1998-08-01,
BFUTILITIE,2011-10-10,2018-09-28
BGRENERGY,2011-03-25,2015-09-28
BGRENERGY,2016-04-01,2018-09-28
BHARATFIN,2011-10-10,2018-12-28
BHARATFORG,1998-08-01,
BHARATRAS,2020-06-26,2022-05-04
BHARATRAS,2022-10-09,2023-04-04
BHARTIARTL,2003-03-17,
BHARTIHEXA,2026-05-30,
BHEL,1998-08-01,
BHUPENIND,1998-08-01,1999-05-26
BIKAJI,2023-04-04,
BILVYAPAR,1998-08-01,2002-09-19
BIOCON,2004-12-10,
BIRLACABLE,1999-09-08,2007-09-24
BIRLACORPN,1998-08-01,2026-05-30
BIRLANU,1998-08-01,2002-04-23
BIRLAPOWER,1998-08-01,2002-03-29
BLISSGVS,2016-04-01,2022-05-04
BLKASHYAP,2006-08-02,2011-10-10
BLS,2023-04-04,
BLUEDART,1999-09-08,
BLUEJET,2026-05-30,
BLUESTARCO,1998-08-01,
BOOTSPHARM,1998-08-01,1999-12-08
BORORENEW,2022-05-04,2026-05-30
BOSCH-HCIL,2016-04-01,2019-03-29
BOSCH-HCIL,2019-09-27,2022-05-04
BOSCHCHASY,2005-03-04,2008-10-31
BOSCHLTD,1998-08-01,
BPCL,1998-08-01,
BPL,1998-08-01,2011-03-25
BRABOURNE,1998-08-01,2008-02-15
BRIGADE,2010-03-09,2017-03-31
BRIGADE,2017-09-29,
BRITANNIA,1998-08-01,
BSE,2017-09-29,
BSL,2002-09-19,2006-03-02
BSOFT,2019-09-27,
CAMLINFINE,2015-09-28,2016-04-01
CAMPUS,2022-10-09,2026-05-30
CAMS,2022-05-04,
CANBK,2003-06-17,
CANFINHOME,2002-04-23,
CANHLIFE,2026-05-30,
CAPF,2009-03-27,2018-12-28
CAPLIPOINT,2016-04-01,2023-04-04
CAPLIPOINT,2026-05-30,
CARBORUNIV,1998-08-01,2016-04-01
CARBORUNIV,2016-09-30,
CAROLINFO,2001-04-25,2012-03-09
CARTRADE,2026-05-30,
CASTEXTECH,2007-04-04,2016-09-30
CASTROLIND,1998-08-01,2003-05-02
CASTROLIND,2008-09-10,2014-02-28
CASTROLIND,2014-07-28,
CCAVENUE,2016-09-30,2026-05-30
CDSL,2018-04-02,
CEATFIN,1998-08-01,2002-11-11
CEATLTD,1998-08-01,2007-12-26
CEATLTD,2015-06-15,
CEMPRO,1998-08-01,2004-12-10
CEMPRO,2015-03-24,2016-04-01
CEMPRO,2016-09-30,2020-06-26
CEMPRO,2026-05-30,
CENTBOP,2001-08-31,2004-01-28
CENTENKA,1998-08-01,2016-04-01
CENTRALBK,2011-10-10,
CENTURYPLY,2009-06-23,2013-07-17
CENTURYPLY,2014-09-19,2026-05-30
CERA,2016-04-01,2026-05-30
CESC,1998-08-01,2018-02-05
CESC,2019-03-29,
CGCL,2019-09-27,
CGPOWER,1998-08-01,2015-09-28
CGPOWER,2016-09-30,2019-12-26
CGPOWER,2022-05-04,
CHALET,2019-06-28,2020-06-26
CHALET,2022-05-04,
CHAMBLFERT,1998-08-01,
CHEMPLASTS,1998-08-01,2012-06-18
CHEMPLASTS,2022-05-04,2026-05-30
CHENNPETRO,1998-08-01,2022-05-04
CHENNPETRO,2026-05-30,
CHETNADCEM,1999-02-03,2002-09-19
CHETNADCEM,2009-03-27,2009-10-22
CHOICEIN,2026-05-30,
CHOLAFIN,1999-02-03,
CHOLAHLDNG,2018-02-05,
CIEINDIA,2016-04-01,
CINEVISTA,2001-08-31,2007-04-04
CIPLA,1998-08-01,
CLCIND,2002-09-19,2017-03-31
CLEAN,2022-05-04,
CLNINDIA,1998-08-01,2016-09-30
COALINDIA,2011-04-11,
COCHINREFN,1998-08-01,2006-09-22
COCHINSHIP,2018-02-05,
COFFEEDAY,2016-09-30,2019-12-26
COFORGE,2013-04-01,
COHANCE,2022-05-04,
COLPAL,1998-08-01,2007-11-29
