unresolved_scrip_name
20th Century Finance Corporation Ltd.
ABG Shipyard Ltd.
ADC India Communications Ltd.
AP Paper Mills Ltd.
APR Ltd.
ARSS Infrastructure Projects Ltd.
ATV Projects India Ltd.
Advanced Enzyme Tech Ltd.
Alfa Laval (India) Ltd.
Allahabad Bank
Alpic Finance Ltd.
Altos India Ltd.
Amrut Industries Ltd.
Amtek Auto Ltd.
Andhra Bank
Andhra Sugars Ltd.
Andhra Valley Power Supply Co. Ltd.
Apple Credit Corporation Ltd.
Aptech Ltd. (Erstwhile)
Arvind Polycot Ltd.
Ashok Leyland Finance Ltd.
Asian Coffee Ltd.
Asian Electronics Ltd.
Atlas Copco (India) Ltd.
Autoriders Finance Ltd.
Avery India Ltd.
Balaji Distilleries Ltd.
Ballarpur Industries Ltd.
Bank of Punjab Ltd.
Bank of Rajasthan Ltd.
Baroda Rayon Corporation Ltd.
Bayer Cropscience India Ltd. -Erstwhile
Bell Ceramics Ltd.
Bharat Hotels Ltd. - Delisted
Bharti Telecom Ltd.-Suspended
Binani Cement Ltd.
Birla Global Finance Ltd.
Blow Plast Ltd.
Blue Star Infotech Ltd.
Bombay Dyeing & Manufacturing Co. Ltd.
Bombay Rayon Fashions Ltd.
Bongaigaon Refinery & Petrochemicals Ltd.
Burroughs Wellcome (India) Ltd.
CARE Ltd.
CCL Products (I) Ltd.
CMC Ltd.
Cadbury India Ltd.
Cairn India Ltd.
Caprihans India Ltd.
Carrier Aircon Ltd.
Centak Chemicals Ltd.
Central India Polyesters Ltd.
Cheminor Drugs Ltd.
Chicago Pneumatic India Ltd.
Chowgule Steamships Ltd.
Ciba Speciality Chemicals (India) Ltd.
Clariant (India) Ltd.
Compudyne Winfosystems Ltd.
Core Healthcare Ltd.
Corporation Bank
D.S. Kulkarni Developers Ltd.
DCL Polyesters Ltd.
Dena Bank
Dewan Rubber Industries Ltd.
Dharamsi Morarji Chemical Co. Ltd.
Dishman Pharmaceuticals & Chemicals Ltd.
Educomp Solutions Ltd.
Eicher Ltd.
Elder Pharmaceuticals Ltd.
Electrex (India) Ltd.
Equitas Holdings Ltd.
Eros Intl Media Ltd.
Ess Dee Aluminium Ltd.
Essar Oil Ltd.
Essar Steel Ltd.
Excel Crop Care Ltd.
Excel Industries Ltd.- Arrangement
Federal Bank Ltd.
First Leasing Co. of India Ltd.
Flat Products Equipments (India) Ltd.
Forbes Gokak Ltd.
Fulford (India) Ltd.
GKN Driveshafts Ltd. -Delisted
Gammon India Ltd.
Garden Silk Mills Ltd.
Garware Polyester Ltd.
German Remedies Ltd.
Gitanjali Gems Ltd.
Global Trust Bank Ltd.
Good Value Marketing Co. Ltd.
Goodricke Group Ltd.
Great Eastern Shipping Co. Ltd.
Gruh Finance Ltd.
Gujarat NRE Coke Ltd.
Gujarat State Petronet Ltd.
Gulf Oil India Ltd.-Old
H.E.G. Ltd.
HAMCO Mining & Smelting Ltd.
Herbertsons Ltd.
Himachal Fut Com Ltd.
Himachal Fut Com Ltd.- Old
Hind Lever Chemicals Ltd.
Hind Syntex Ltd.
Hindustan Development Corporation Ltd.
Hindustan Motors Ltd.
Hindustan Organic Chemicals Ltd.
Hindustan Powerplus Ltd.
Hitech Drilling Services India Ltd.
Hoganas India Ltd.- Sus
Housing Development Finance Corporation Ltd.
I T C Bhadrachalam Paper Boards Ltd.
I T C Ltd.
IBP Co. Ltd.
ICICI Securities Ltd.
IDBI Bank Ltd.-OLD
IP Rings Ltd.
ISMT Ltd.
ITW Signode India Ltd.- Sus
India Cements Ltd.
India Gypsum Ltd.
India Infoline Ltd.
India Securities Ltd.
Indiabulls Financial Services Ltd.
Indiabulls Securities Ltd.
Indian Aluminium Co. Ltd.
Indian Hotels Co. Ltd.
Indian Organic Chemicals Ltd.
Indian Petrochemicals Corporation Ltd.
Indo Gulf Fertilisers Ltd.
Indo Rama Synthetics Ltd.
Industrial Oxygen Co. Ltd. -Sus
Infar (India) Ltd.
Infinite Computer Solutions (India) Ltd
Information Technologies India Ltd.
Innoventive Industries Ltd.
Inox Leisure Ltd.
Insilco Ltd. - Sus
International Travel House Ltd.
Ispat Alloys Ltd.
JBF Industries Ltd.
JCT Electronics Ltd.
JCT Ltd.
JMT Auto Ltd.
Jagatjit Industries Ltd. -Sus
Jain Studios Ltd.
Jaiprakash Associates Ltd.
Jaiprakash Industries Ltd.- Suspended
Jaypee Infratech Ltd.
Jet Airways (India) Ltd.
Jindal Iron & Steel Co. Ltd.
Jindal Stainless (Hisar) Ltd.
Jindal Strips Ltd.- Merged
K.S. Oils Ltd.
KSK Energy Ventures Ltd
Karnataka Bank Ltd.
Kemrock Industries and Exports Ltd.
Kerala Chemicals & Proteins Ltd.
Kinetic Engineering Ltd.
Kinetic Motor Co. Ltd.
Kitply Industries Ltd.
Kodak India Ltd. - Delisted
Koutons Retail India Ltd.
Krishna Filaments Ltd.
LML Ltd.
Lakshmi Auto Components Ltd.- Delisted
Lakshmi Energy & Foods Ltd.
Lakshmi Vilas Bank Ltd.
Lanco Infratech Ltd.
Lloyds Finance Ltd.
Lloyds Metals & Engineers Ltd.
Lupin Chemicals Ltd.  (Erstwhile)
Lupin Laboratories Ltd.  (Erstwhile)
MVL Ltd.
Maars Software International Ltd.
Mahindra Ugine Steel Co. Ltd.
Malwa Cotton Spinning Mills Ltd.
Mangalore Chemicals & Fertilizers Ltd.
Manpasand Beverages Ltd.
Mardia Chemicals Ltd.
Matrix Laboratories Ltd.
McDowell & Co. Ltd. (Old)
Melstar Information Technologies Ltd.
Merind Ltd.-Merged
Modern Denim Ltd.
Modern Syntex (India) Ltd.
Modi Xerox Ltd.- Sus
Moser Baer India Ltd.
Mukand Ltd.- Old
NDTV Ltd.
NEPC Agro Foods Ltd.
NIIT Ltd.-Sus
Nagarjuna Fertilizers & Chemicals Ltd.
Narmada Chematur Petrochemicals Ltd.
National Aluminium Co. Ltd. (Old)
National Peroxide Ltd.
Nirma Ltd.
Nitin Fire Protection Industries Ltd.
OTIS Elevator Company (India) Ltd.
Opto Circuits (I) Ltd.
Orbit Corporation Ltd.
Orient Information Technologies Ltd.
Oriental Bank of Commerce
Orissa Min Dev Co Ltd.
Orkay Industries Ltd.
Oudh Sugar Mills Ltd.
PSI Data Systems Ltd.
PTC India Fin Serv Ltd.
Paper Products Ltd.
Parekh Platinum Ltd.
Parke-Davis (India) Ltd.
Patheja Forgings & Auto Parts Manufacturers Ltd.
Patni Computer Systems Ltd.
Patspin India Ltd.
Pentafour Products Ltd.
Philips India Ltd.
Phoenix International Ltd.
Phoenix Mills Ltd.
Pipavav Defence and Offshore Engineering Company Ltd.
Piramal Holdings Ltd.-Delisted
Precision Fasteners Ltd.
Provogue (India) Ltd.
Punj Lloyd Ltd.
Punjab Anand Lamp Industries Ltd.
Punjab Communications Ltd.
Punjab Tractors Ltd.
Punjab Wireless Systems Ltd.
Raasi Cement Ltd.- Sus
Rain Calcining Ltd.
Rajinder Steels Ltd.
Ramky Infra Ltd.
Ranbaxy Laboratories Ltd.
Rane Brake Linings Ltd. -old
Rane Engine Valves Ltd. -old
Rasoya Proteins Ltd.
Ravalgaon Sugar Farm Ltd.
Rayban Sun Optics India Ltd.
Rei Agro Ltd.
Reliance Capital Ltd.
Reliance Natural Resources Ltd.
Reliance Petroleum Ltd.
Reliance Petroleum Ltd.- Merge
Rhone-Poulenc (India) Ltd.
Rolta India Ltd.
Royal Cushion Vinyl Products Ltd.
S.B.& T. International Ltd.
Salora International Ltd.
Samtel Color Ltd.
Sandvik Asia Ltd. - Delisted
Sanghi Polysters Ltd.
Satyam Computer Services Ltd.
Search Chem. Industries Ltd. - Sus
Shaw Wallace & Co. Ltd.-Sus
Shilpi Cable Tech Ltd.
Shree Ashtavinayak Cine Vision Ltd.
Shrenuj & Co. Ltd.
Shri Lakshmi Cotsyn Ltd.
Shriram City Union Finance Ltd.
Shriram Investments Ltd.-Merged
Siltap Chemicals Ltd.- Merged
Sintex Plastics Technology Ltd.
Sirpur Paper Mills Ltd.
Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged
Snowcem India Ltd.
Soundcraft Industries Ltd.
Sree Rayalaseema Alkalies & Allied Chemicals Ltd.
Sri Vishnu Cement Ltd.- Merged
Standard Industries Ltd.- Delisted
Star Ferro & Cement Ltd.
State Bank of Bikaner & Jaipur Ltd.
State Bank of Mysore
State Bank of Travancore
Sterling Holiday Resorts (India) Ltd.-Delisted
Sterlite Industries (India) Ltd (Erstwhile)
Sterlite Industries (India) Ltd.
Sterlite Industries (India) Ltd. -Sus
Strides Arcolab Ltd.
Sujana Towers Ltd.-old
Sun Earth Ceramics Ltd.
Syndicate Bank
Synthetics & Chemicals Ltd.
TCNS Clothing Co. Ltd.
TVS Electronics Ltd. - Merge
TVS Suzuki Ltd. (old)
Tata Finance Ltd.
Tata Hydro-Electric Power Supply Co. Ltd.
Tata Infotech Ltd.-Merged
Tata Metaliks Ltd.
Tata Motors Ltd DVR
Tata Power Co. Ltd.
Techno Elt & Eng Co. Ltd.
Television Eighteen India Ltd.
Texmaco Rail & Eng. Ltd.
Textool Co. Ltd.- Merger
Tide Water Oil (India) Ltd.
Timex Watches Ltd.
Tinplate Company of India Ltd.
UTV Software Communication Ltd.
Ujjivan Financial Services Ltd.
United Bank of India
United Breweries (Holdings) Ltd.
United Western Bank Ltd.
Unity Infraprojects Ltd.
Usha (India) Ltd.
Varun Shipping Co. Ltd.
Videocon International Ltd.
Vijaya Bank
Vikas WSP Ltd.
Viral Filaments Ltd.
Vishal Exports Overseas Ltd.
Vision Organics Ltd
Warren Tea Ltd.
Wellwin Industry Ltd.
Western India Industries Ltd.
Wimco Ltd.-Delisted
Wockhardt Ltd. (old)
Yokogawa Ltd.
Zenith Computer Ltd.
Zodiac Clothing Co. Ltd.
