Date,strategy_return,benchmark_return,strategy_cum,benchmark_cum
2009-03-31,0.0,0.08613956446465498,1.0,1.086139564464655
2009-04-30,0.0548636884800693,0.16040256204084935,1.0548636884800693,1.2603591333387179
2009-05-31,0.17675270949628955,0.34433614007480595,1.2413137035681714,1.6943463324205996
2009-06-30,0.038367420201857044,-0.03078300985231719,1.288939708035295,1.6421892525764588
2009-07-31,0.12346986607551781,0.08484892067702265,1.4480849211658298,1.7815272382049778
2009-08-31,0.04864563421816813,0.020230534526020527,1.5185279305577075,1.8175684865065296
2009-09-30,0.11378843777274694,0.07249528803673422,1.6913188514901514,1.9493336374623116
2009-10-31,-0.049835028049264304,-0.0644628964322872,1.60703192908589,1.8236739450786048
2009-11-30,0.10668669910075686,0.07586012617407878,1.7784808609495855,1.9620180806526477
2009-12-31,0.04668739547058885,0.04430149763170732,1.861513500241612,2.048938420006048
2010-01-31,-0.04206723116906241,-0.03997367466784574,1.7832047815026177,1.9670348221902763
2010-02-28,0.006034411185844679,-0.006857482025368067,1.7939653723827687,1.9535459162538333
2010-03-31,0.07313167346140763,0.04499035928477357,1.9251610621969377,2.0414366489053957
2010-04-30,0.04622816806621608,0.012716668908127726,2.0141577313347128,2.0673969228664433
2010-05-31,-0.0671138845739365,-0.032393877970551044,1.878979781840213,2.000425919230415
2010-06-30,0.07094484087103875,0.045923402155205295,2.012283703462766,2.0922922832009294
2010-07-31,0.05807680899405914,0.012317003369495039,2.1291507197506307,2.1180630543030836
2010-08-31,0.02748461349496269,0.013876670127259905,2.1876696043554986,2.147454716616384
2010-09-30,0.10564622481662271,0.08549229489093957,2.4187886392017317,2.3310455485142914
2010-10-31,0.026504443069183616,0.0097053603489905,2.4828972849858424,2.353669185552533
2010-11-30,-0.037826775837170055,-0.038518491026000135,2.3889772859599647,2.2630094001506547
2010-12-31,0.01753499734751931,0.03336899402734428,2.430867996332557,2.338523747308106
2011-01-31,-0.11224758591211455,-0.1045042456048012,2.1580089320732085,2.0941380872667597
2011-02-28,-0.04665350562584947,-0.040105306266497553,2.057330250220098,2.010152037912589
2011-03-31,0.11387968699171011,0.08930701601903479,2.291618375153739,2.189672718163144
2011-04-30,0.04773874402780047,-0.0024101426096031497,2.4010173581746073,2.1843952946440135
2011-05-31,0.01674909343883407,-0.02652049984119964,2.4412322222549365,2.1264640395792895
2011-06-30,0.025859664183994695,0.006688404552023242,2.5043616677175966,2.140686691341325
2011-07-31,0.04878377152234304,-0.021866373600748834,2.626533875124846,2.093877636386305
2011-08-31,-0.06347493007376027,-0.08718250169252229,2.459814821064934,1.9113281458081213
2011-09-30,0.005198517741021447,-0.01485751215460196,2.4726022120518674,1.8829305646503443
2011-10-31,0.02310134743330672,0.05971064910062118,2.5297226548168408,1.9953615708770154
2011-11-30,-0.08159819700088439,-0.09598186365030403,2.323301847271496,1.8038430486480412
2011-12-31,-0.0908994417137923,-0.05601837438808621,2.1121150064218948,1.7027946934115286
2012-01-31,0.10131289440850143,0.1348342688308819,2.3260994910461275,1.9323897708667777
2012-02-29,0.07718260742236513,0.04719741257304455,2.505633914888904,2.023593568134308
2012-03-31,0.044418692351042316,-0.012571498398584291,2.616930896898692,1.9981539648331221
2012-04-30,0.030440567666058623,-0.01029176283087374,2.6965917589431365,1.9775894381274897
2012-05-31,-0.03928881081915005,-0.06349399631891084,2.5906458754695407,1.8520243816227058
2012-06-30,0.013581191052757905,0.06583098699811685,2.625829932054332,1.9739449746095055
2012-07-31,-0.0026205919745278267,-0.01059781208877153,2.6189487032079155,1.953025476695019
2012-08-31,0.027577981683760532,0.0008359997959994647,2.6911740225756917,1.9546582055951178
2012-09-30,0.07762143174381811,0.0906681040394306,2.9000668032797874,2.1318833591415425
2012-10-31,0.007394854987638363,-0.012321438385707761,2.9215123767445053,2.105615489686364
2012-11-30,0.026496923079168858,0.050889489929628606,2.9989234654659445,2.2127691879444282
2012-12-31,0.03915619104838744,0.014587516797827327,3.1163498856192215,2.2450479956432825
2013-01-31,-0.042140805119207043,0.01093079438488953,2.985024392406079,2.2695881536678675
2013-02-28,-0.10235176200352517,-0.0662731737387765,2.6795018862198146,2.119175343644368
2013-03-31,-0.05689406577292713,-0.008743708224771773,2.527054129666542,2.100645892762411
2013-04-30,0.04649201055209574,0.04582787891696216,2.6445419569287165,2.196914038383341
2013-05-31,0.05647790639310369,0.00855275642700648,2.793900150024772,2.2157037090447047
2013-06-30,-0.041541562943294724,-0.03643102646054064,2.6778371710852373,2.134983348591779
2013-07-31,-0.040143153738352484,-0.029096227654600515,2.5703403418400876,2.0728633870423714
2013-08-31,-0.024975647172258048,-0.04653330599628003,2.5061444283496686,1.9764062007646432
2013-09-30,0.07555721509631702,0.0517737686400932,2.695501721984921,2.0787321981418776
2013-10-31,0.10278315199634691,0.09398808614564724,2.972553885182112,2.274108259054567
2013-11-30,0.05205663233557724,-0.00723228512893892,3.127295029880729,2.2576612597110097
