symbol,entry_date,entry_price,exit_date,exit_price,qty,pnl_rs,pnl_pct,hold_days,status
SUNPHARMA,2009-03-31,97.61317443847656,2009-04-30,112.27554321289062,341.4839597737148,5006.963748749384,0.15020891246248147,30,closed
GLAXO,2009-03-31,383.1280212402344,2009-06-30,420.7410888671875,87.00312032888922,3272.4542486864507,0.09817362746059355,91,closed
CASTROLIND,2009-03-31,21.61665725708008,2009-06-30,25.237178802490234,1542.0207174916327,5582.919231147279,0.1674875769344184,91,closed
ASTRAZEN,2009-03-31,523.396240234375,2009-06-30,626.5673217773438,63.68661211323717,6570.616651530213,0.19711849954590632,91,closed
PGHH,2009-03-31,588.0145263671875,2009-06-30,701.8035888671875,56.6879419446829,6450.467768939894,0.1935140330681968,91,closed
LUPIN,2009-03-31,122.41468048095705,2009-06-30,145.95700073242188,272.2984955919458,6410.538387217673,0.19231615161653015,91,closed
GVT&D,2009-03-31,187.38082885742188,2009-07-31,292.961181640625,177.8908415369252,18781.777806369446,0.5634533341910835,122,closed
BRITANNIA,2009-03-31,111.01579284667967,2009-06-30,129.6668701171875,300.2575802829146,5600.127330912347,0.16800381992737035,91,closed
JINDALPOLY,2009-03-31,111.5098648071289,2009-07-31,123.67996215820312,298.9272150135574,3637.973307600488,0.10913919922801463,122,closed
FDC,2009-03-31,28.0650634765625,2009-07-31,35.26542663574219,1187.716299347423,8551.98868537842,0.2565596605613525,122,closed
GODREJCP,2009-03-31,38.04150772094727,2009-07-31,63.63911819458008,876.2358626227262,22429.544294444175,0.6728863288333251,122,closed
RALLIS,2009-03-31,20.42281723022461,2009-07-31,40.04136276245117,1632.1613691965033,32020.632137522847,0.9606189641256853,122,closed
SANOFI,2009-03-31,604.1970825195312,2009-07-31,788.3970336914062,55.16963636158538,10162.244323974128,0.3048673297192237,122,closed
HINDPETRO,2009-03-31,20.053943634033203,2009-08-31,26.77918815612793,1662.1834558647063,11178.590181270598,0.3353577054381178,153,closed
HEROMOTOCO,2009-03-31,601.00048828125,2009-10-31,890.6182861328125,55.46307196631486,16063.09276496684,0.48189278294900517,214,closed
UNICHEMLAB,2009-03-31,51.7220458984375,2009-07-31,70.46282958984375,644.470510675223,12077.882436054477,0.3623364730816343,122,closed
CIPLA,2009-03-31,195.9702606201172,2009-06-30,225.62628173828125,170.09383580883764,5044.30638681642,0.15132919160449254,91,closed
COLPAL,2009-03-31,162.31741333007812,2009-06-30,211.2610015869141,205.35894855315885,10051.003822842567,0.3015301146852769,91,closed
PGHL,2009-03-31,207.9069976806641,2009-06-30,234.15187072753903,160.3280972030189,4207.7905569402565,0.1262337167082077,91,closed
DABUR,2009-03-31,41.05323791503906,2009-04-30,42.6258544921875,811.9538196309313,1276.892036630595,0.03830676109891784,30,closed
INFY,2009-03-31,108.81050872802734,2009-04-30,124.0442886352539,306.3429600963473,4666.761230236045,0.14000283690708137,30,closed
BPCL,2009-03-31,14.216691970825195,2009-04-30,14.592854499816896,2344.661711862252,881.9738791641157,0.026459216374923544,30,closed
POWERGRID,2009-03-31,29.90904426574707,2009-05-31,35.96280670166016,1114.4900865825355,6746.8582213508835,0.20240574664052646,61,closed
ALLCARGO,2009-03-31,15.197416305541992,2009-04-30,15.414928436279297,2193.355282448753,477.081380949351,0.014312441428480538,30,closed
NTPC,2009-03-31,86.31090545654297,2009-04-30,91.1819076538086,386.20071423206736,1881.1845276099539,0.05643553582829863,30,closed
MARICO,2009-03-31,24.30156517028809,2009-04-30,27.692243576049805,1371.6537638525353,4650.836797276571,0.1395251039182972,30,closed
KAJARIACER,2009-03-31,11.774490356445312,2009-05-31,15.508380889892578,2830.97886398852,10570.56518063603,0.3171169554190809,61,closed
TORNTPHARM,2009-03-31,25.72539710998535,2009-05-31,34.26853942871094,1295.736395858976,11069.660437375785,0.3320898131212735,61,closed
GTL,2009-03-31,231.3658905029297,2009-05-31,270.4257507324219,144.07194276077288,5627.429947227188,0.16882289841681564,61,closed
HINDUNILVR,2009-03-31,170.53126525878906,2009-05-31,165.72048950195312,195.46757764770268,-940.3506837950142,-0.028210520513850423,61,closed
MPHASIS,2009-04-30,139.55731201171875,2010-03-31,387.5707092285156,251.95471625580643,62488.14512339667,1.777143695602069,335,closed
MCLEODRUSS,2009-04-30,63.54072189331055,2009-05-31,87.75698852539062,553.3793432245762,13400.781724211694,0.38111412509195186,31,closed
