Date,Adj Close,Close,High,Low,Open,Volume
2019-01-14,6256.64990234375,6256.64990234375,6274.2998046875,6233.9501953125,6272.39990234375,0
2019-01-15,6290.5,6290.5,6298.2998046875,6270.14990234375,6271.35009765625,0
2019-01-16,6280.0,6280.0,6325.14990234375,6270.64990234375,6294.5498046875,0
2019-01-17,6264.4501953125,6264.4501953125,6304.4501953125,6243.89990234375,6290.5498046875,0
2019-01-18,6233.0498046875,6233.0498046875,6280.35009765625,6227.2998046875,6279.85009765625,0
2019-01-21,6190.14990234375,6190.14990234375,6248.14990234375,6180.9501953125,6241.25,0
2019-01-22,6182.35009765625,6182.35009765625,6185.5498046875,6131.85009765625,6180.85009765625,0
2019-01-23,6168.0,6168.0,6209.9501953125,6162.2998046875,6188.10009765625,0
2019-01-24,6150.0498046875,6150.0498046875,6182.4501953125,6137.7998046875,6176.4501953125,0
2019-01-25,6068.60009765625,6068.60009765625,6181.10009765625,6054.64990234375,6165.4501953125,0
2019-01-28,5966.5,5966.5,6061.9501953125,5941.2001953125,6061.0498046875,0
2019-01-29,5979.25,5979.25,5998.10009765625,5932.14990234375,5949.9501953125,0
2019-01-30,6013.14990234375,6013.14990234375,6018.64990234375,5964.7998046875,5998.0,0
2019-01-31,6044.64990234375,6044.64990234375,6052.0498046875,5991.9501953125,6031.2001953125,0
2019-02-01,6076.0498046875,6076.0498046875,6121.5498046875,6028.89990234375,6068.39990234375,0
2019-02-04,6035.7998046875,6035.7998046875,6072.2998046875,5999.0,6072.2998046875,0
2019-02-05,5990.9501953125,5990.9501953125,6059.5,5971.60009765625,6035.64990234375,0
2019-02-06,5996.5498046875,5996.5498046875,6005.9501953125,5934.4501953125,5993.75,0
2019-02-07,6037.14990234375,6037.14990234375,6058.0,5995.75,5998.25,0
2019-02-08,5967.39990234375,5967.39990234375,6036.75,5960.89990234375,6021.7001953125,0
2019-02-11,5875.35009765625,5875.35009765625,5961.7001953125,5868.25,5961.10009765625,0
2019-02-12,5865.7001953125,5865.7001953125,5897.7001953125,5854.7998046875,5874.0498046875,0
2019-02-14,5872.7001953125,5872.7001953125,5877.89990234375,5814.5498046875,5843.2998046875,0
2019-02-15,5824.5498046875,5824.5498046875,5872.60009765625,5788.60009765625,5871.9501953125,0
2019-02-18,5762.9501953125,5762.9501953125,5830.9501953125,5755.35009765625,5824.10009765625,0
2019-02-19,5790.5,5790.5,5826.25,5766.14990234375,5767.25,0
2019-02-20,5841.25,5841.25,5847.60009765625,5802.85009765625,5813.5498046875,0
2019-02-21,5895.2001953125,5895.2001953125,5899.85009765625,5840.25,5858.2001953125,0
2019-02-22,5922.60009765625,5922.60009765625,5925.7998046875,5892.75,5895.89990234375,0
2019-02-25,5944.75,5944.75,5949.85009765625,5928.64990234375,5941.39990234375,0
2019-02-26,5939.2998046875,5939.2998046875,5953.4501953125,5823.7998046875,5888.4501953125,0
2019-02-27,5962.7998046875,5962.7998046875,6027.2001953125,5914.5,5970.35009765625,0
2019-02-28,5993.0,5993.0,6001.7001953125,5950.9501953125,5986.10009765625,0
2019-03-01,6068.85009765625,6068.85009765625,6071.14990234375,6013.14990234375,6014.85009765625,0
2019-03-05,6193.2001953125,6193.2001953125,6195.4501953125,6076.10009765625,6078.39990234375,0
2019-03-06,6219.89990234375,6219.89990234375,6257.7998046875,6206.0498046875,6225.9501953125,0
2019-03-07,6204.0,6204.0,6245.2998046875,6197.2998046875,6237.75,0
2019-03-08,6197.5498046875,6197.5498046875,6217.2001953125,6171.9501953125,6202.60009765625,0
2019-03-11,6317.7998046875,6317.7998046875,6320.64990234375,6217.5,6217.75,0
2019-03-12,6354.0,6354.0,6391.4501953125,6341.39990234375,6353.7998046875,0
2019-03-13,6324.2998046875,6324.2998046875,6369.35009765625,6317.25,6365.2001953125,0
2019-03-14,6324.60009765625,6324.60009765625,6356.39990234375,6304.39990234375,6344.10009765625,0
2019-03-15,6364.85009765625,6364.85009765625,6372.10009765625,6339.60009765625,6344.89990234375,0
2019-03-18,6343.75,6343.75,6397.14990234375,6329.14990234375,6386.35009765625,0
2019-03-19,6378.4501953125,6378.4501953125,6391.85009765625,6349.85009765625,6372.2001953125,0
2019-03-20,6353.5,6353.5,6389.85009765625,6343.64990234375,6388.75,0
2019-03-22,6327.0498046875,6327.0498046875,6383.2001953125,6320.2001953125,6359.0,0
2019-03-25,6276.5,6276.5,6296.7001953125,6252.25,6286.0498046875,0
2019-03-26,6336.89990234375,6336.89990234375,6341.25,6290.2001953125,6295.9501953125,0
2019-03-27,6371.85009765625,6371.85009765625,6394.10009765625,6351.4501953125,6360.9501953125,0
2019-03-28,6442.9501953125,6442.9501953125,6462.60009765625,6381.2001953125,6387.25,0
2019-04-01,6522.5498046875,6522.5498046875,6563.4501953125,6511.2998046875,6530.0498046875,0
2019-04-02,6525.2001953125,6525.2001953125,6546.64990234375,6497.39990234375,6541.7998046875,0
2019-04-03,6462.75,6462.75,6567.10009765625,6453.60009765625,6543.25,0
