Date,Adj Close,Close,High,Low,Open,Volume
1995-01-01,1000.0,1000.0,1000.0,1000.0,1000.0,0
1995-01-02,972.1,972.1,972.1,972.1,972.1,0
1995-01-03,967.43,967.43,967.43,967.43,967.43,0
1995-01-04,958.89,958.89,958.89,958.89,958.89,0
1995-01-05,948.26,948.26,948.26,948.26,948.26,0
1995-01-06,939.46,939.46,939.46,939.46,939.46,0
1995-01-09,921.65,921.65,921.65,921.65,921.65,0
1995-01-10,901.64,901.64,901.64,901.64,901.64,0
1995-01-11,893.14,893.14,893.14,893.14,893.14,0
1995-01-12,893.14,893.14,893.14,893.14,893.14,0
1995-01-13,894.08,894.08,894.08,894.08,894.08,0
1995-01-16,903.0,903.0,903.0,903.0,903.0,0
1995-01-17,907.45,907.45,907.45,907.45,907.45,0
1995-01-18,907.82,907.82,907.82,907.82,907.82,0
1995-01-19,909.85,909.85,909.85,909.85,909.85,0
1995-01-20,903.82,903.82,903.82,903.82,903.82,0
1995-01-23,883.28,883.28,883.28,883.28,883.28,0
1995-01-24,863.72,863.72,863.72,863.72,863.72,0
1995-01-25,864.1,864.1,864.1,864.1,864.1,0
1995-01-27,867.69,867.69,867.69,867.69,867.69,0
1995-01-30,877.89,877.89,877.89,877.89,877.89,0
1995-01-31,883.27,883.27,883.27,883.27,883.27,0
1995-02-01,882.83,882.83,882.83,882.83,882.83,0
1995-02-02,884.08,884.08,884.08,884.08,884.08,0
1995-02-03,887.64,887.64,887.64,887.64,887.64,0
1995-02-06,880.99,880.99,880.99,880.99,880.99,0
1995-02-07,872.99,872.99,872.99,872.99,872.99,0
1995-02-08,865.42,865.42,865.42,865.42,865.42,0
1995-02-09,862.03,862.03,862.03,862.03,862.03,0
1995-02-10,858.27,858.27,858.27,858.27,858.27,0
1995-02-13,853.75,853.75,853.75,853.75,853.75,0
1995-02-14,850.4,850.4,850.4,850.4,850.4,0
1995-02-15,847.61,847.61,847.61,847.61,847.61,0
1995-02-16,833.53,833.53,833.53,833.53,833.53,0
1995-02-17,823.6,823.6,823.6,823.6,823.6,0
1995-02-20,814.85,814.85,814.85,814.85,814.85,0
1995-02-21,800.46,800.46,800.46,800.46,800.46,0
1995-02-22,788.49,788.49,788.49,788.49,788.49,0
1995-02-23,812.98,812.98,812.98,812.98,812.98,0
1995-02-24,838.86,838.86,838.86,838.86,838.86,0
1995-02-28,832.98,832.98,832.98,832.98,832.98,0
1995-03-01,842.85,842.85,842.85,842.85,842.85,0
1995-03-02,854.14,854.14,854.14,854.14,854.14,0
1995-03-03,859.26,859.26,859.26,859.26,859.26,0
1995-03-06,860.6,860.6,860.6,860.6,860.6,0
1995-03-07,858.33,858.33,858.33,858.33,858.33,0
1995-03-08,852.93,852.93,852.93,852.93,852.93,0
1995-03-09,851.65,851.65,851.65,851.65,851.65,0
1995-03-10,863.48,863.48,863.48,863.48,863.48,0
1995-03-13,844.12,844.12,844.12,844.12,844.12,0
