Date,Adj Close,Close,High,Low,Open,Volume
1995-01-01,1182.2,1182.2,1182.2,1182.2,1182.2,0
1995-01-02,1182.1,1182.1,1182.1,1182.1,1182.1,0
1995-01-03,1176.8,1176.8,1176.8,1176.8,1176.8,0
1995-01-04,1163.7,1163.7,1163.7,1163.7,1163.7,0
1995-01-05,1150.0,1150.0,1150.0,1150.0,1150.0,0
1995-01-06,1130.3,1130.3,1130.3,1130.3,1130.3,0
1995-01-09,1112.1,1112.1,1112.1,1112.1,1112.1,0
1995-01-10,1079.2,1079.2,1079.2,1079.2,1079.2,0
1995-01-11,1067.5,1067.5,1067.5,1067.5,1067.5,0
1995-01-12,1066.1,1066.1,1066.1,1066.1,1066.1,0
1995-01-13,1074.4,1074.4,1074.4,1074.4,1074.4,0
1995-01-16,1087.8,1087.8,1087.8,1087.8,1087.8,0
1995-01-17,1084.0,1084.0,1084.0,1084.0,1084.0,0
1995-01-18,1091.2,1091.2,1091.2,1091.2,1091.2,0
1995-01-19,1091.5,1091.5,1091.5,1091.5,1091.5,0
1995-01-20,1075.5,1075.5,1075.5,1075.5,1075.5,0
1995-01-23,1041.7,1041.7,1041.7,1041.7,1041.7,0
1995-01-24,1019.2,1019.2,1019.2,1019.2,1019.2,0
1995-01-25,1030.0,1030.0,1030.0,1030.0,1030.0,0
1995-01-27,1043.5,1043.5,1043.5,1043.5,1043.5,0
1995-01-30,1058.6,1058.6,1058.6,1058.6,1058.6,0
1995-01-31,1071.2,1071.2,1071.2,1071.2,1071.2,0
1995-02-01,1061.7,1061.7,1061.7,1061.7,1061.7,0
1995-02-02,1066.0,1066.0,1066.0,1066.0,1066.0,0
1995-02-03,1076.2,1076.2,1076.2,1076.2,1076.2,0
1995-02-06,1061.7,1061.7,1061.7,1061.7,1061.7,0
1995-02-07,1052.7,1052.7,1052.7,1052.7,1052.7,0
1995-02-08,1042.4,1042.4,1042.4,1042.4,1042.4,0
1995-02-09,1045.2,1045.2,1045.2,1045.2,1045.2,0
1995-02-10,1037.1,1037.1,1037.1,1037.1,1037.1,0
1995-02-13,1029.8,1029.8,1029.8,1029.8,1029.8,0
1995-02-14,1032.6,1032.6,1032.6,1032.6,1032.6,0
1995-02-15,1024.1,1024.1,1024.1,1024.1,1024.1,0
1995-02-16,1002.4,1002.4,1002.4,1002.4,1002.4,0
1995-02-17,992.15,992.15,992.15,992.15,992.15,0
