Date,Adj Close,Close,High,Low,Open,Volume
2008-01-01,4004.139892578125,4004.139892578125,4004.139892578125,4004.139892578125,4004.139892578125,0
2008-01-02,4039.139892578125,4039.139892578125,4039.139892578125,4039.139892578125,4039.139892578125,0
2008-01-03,4030.159912109375,4030.159912109375,4030.159912109375,4030.159912109375,4030.159912109375,0
2008-01-04,4038.10009765625,4038.10009765625,4038.10009765625,4038.10009765625,4038.10009765625,0
2008-01-07,4034.6298828125,4034.6298828125,4034.6298828125,4034.6298828125,4034.6298828125,0
2008-01-08,3918.780029296875,3918.780029296875,3918.780029296875,3918.780029296875,3918.780029296875,0
2008-01-09,3892.7900390625,3892.7900390625,3892.7900390625,3892.7900390625,3892.7900390625,0
2008-01-10,3761.739990234375,3761.739990234375,3761.739990234375,3761.739990234375,3761.739990234375,0
2008-01-11,3741.75,3741.75,3741.75,3741.75,3741.75,0
2008-01-14,3778.0,3778.0,3778.0,3778.0,3778.0,0
2008-01-15,3741.760009765625,3741.760009765625,3741.760009765625,3741.760009765625,3741.760009765625,0
2008-01-16,3658.1298828125,3658.1298828125,3658.1298828125,3658.1298828125,3658.1298828125,0
2008-01-17,3712.0,3712.0,3712.0,3712.0,3712.0,0
2008-01-18,3539.010009765625,3539.010009765625,3539.010009765625,3539.010009765625,3539.010009765625,0
2008-01-21,3123.919921875,3123.919921875,3123.919921875,3123.919921875,3123.919921875,0
2008-01-22,2847.739990234375,2847.739990234375,2847.739990234375,2847.739990234375,2847.739990234375,0
2008-01-23,3055.85009765625,3055.85009765625,3055.85009765625,3055.85009765625,3055.85009765625,0
2008-01-24,2954.719970703125,2954.719970703125,2954.719970703125,2954.719970703125,2954.719970703125,0
2008-01-25,3124.7099609375,3124.7099609375,3124.7099609375,3124.7099609375,3124.7099609375,0
2008-01-28,3110.090087890625,3110.090087890625,3110.090087890625,3110.090087890625,3110.090087890625,0
2008-01-29,3136.280029296875,3136.280029296875,3136.280029296875,3136.280029296875,3136.280029296875,0
2008-01-30,3062.360107421875,3062.360107421875,3062.360107421875,3062.360107421875,3062.360107421875,0
2008-01-31,3030.27001953125,3030.27001953125,3030.27001953125,3030.27001953125,3030.27001953125,0
2008-02-01,3033.18994140625,3033.18994140625,3033.18994140625,3033.18994140625,3033.18994140625,0
2008-02-04,3109.60009765625,3109.60009765625,3109.60009765625,3109.60009765625,3109.60009765625,0
2008-02-05,3143.719970703125,3143.719970703125,3143.719970703125,3143.719970703125,3143.719970703125,0
